filename,title,feature,role
./help/search-social-commerce/campaign-management/campaigns/campaign-settings-yahoo-japan.md,'[!DNL Yahoo! Japan Ads] campaign settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/campaign-settings-yandex.md,'[!DNL Yandex] campaign settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-manage.md,Manage ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-baidu.md,'[!DNL Baidu] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-google.md,'[!DNL Google Ads] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-microsoft.md,'[!DNL Microsoft Advertising] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-yahoo-japan.md,'[!DNL Yahoo! Japan Ads] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-yandex.md,'[!DNL Yandex] ad group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-about.md,About keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-manage.md,Manage biddable keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-negative-create.md,Create negative keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-status-edit.md,Change the status of keywords and negative keywords,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-baidu.md,'[!DNL Baidu] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-google.md,'[!DNL Google Ads] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-microsoft.md,'[!DNL Microsoft Advertising] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-yahoo-japan.md,'[!DNL Yahoo! Japan Ads] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/keyword-settings-yandex.md,'[!DNL Yandex] keyword settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-about.md,Manage ads,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-manage.md,Manage ads,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-baidu-text.md,'[!DNL Baidu] text ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-google-call.md,'[!DNL Google Ads] call-only ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-google-dsa.md,'[!DNL Google Ads] expanded dynamic search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-google-rsa.md,'[!DNL Google Ads] responsive search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-dsa.md,'[!DNL Microsoft® Advertising] expanded dynamic search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-multimedia.md,'[!DNL Microsoft® Advertising] multimedia ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-product.md,'[!DNL Microsoft® Advertising] product ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-responsive.md,'[!DNL Microsoft® Advertising] responsive ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-microsoft-rsa.md,'[!DNL Microsoft® Advertising] responsive search ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-settings-yandex-text.md,'[!DNL Yandex] text ad settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-about.md,About shopping product groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-manage.md,Manage shopping product groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-settings-google.md,'[!DNL Google Ads] product group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/product-group-settings-microsoft.md,'[!DNL Microsoft® Advertising] product group settings',Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/shopping-campaign-product-filters.md,Shopping campaign product filters,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-about.md,About [!DNL Google Ads] placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-manage.md,Manage [!DNL Google Ads] placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-negative-create.md,Create negative placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/placement-status-edit.md,Change the status of placements and negative placements,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/dynamic-search-target-about.md,About [!DNL Google Ads] dynamic search targets,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/dynamic-search-target-manage.md,Manage [!DNL Google Ads] dynamic search targets,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-about.md,About audiences,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/google-audience-from-adobe-audience.md,Create [!DNL Google Ads] customer match audiences from [!DNL Adobe] audiences,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/google-audience-from-campaign-email-list.md,Create a [!DNL Google Ads] customer match audience from an Adobe Campaign email list,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-from-customer-data-list.md,Manage customer match audiences using customer data lists,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-dynamic-remarketing-manage.md,Manage [!DNL Microsoft Advertising] dynamic remarketing audiences,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-targets-manage.md,Manage audience targets for campaigns and ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/audience-exclusions-manage.md,Manage audience exclusions for campaigns and ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/callout-extension-about.md,About [!DNL Google Ads] callout extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/callout-extension-manage.md,Manage [!DNL Google Ads] callout extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/callout-extension-associate.md,Associate [!DNL Google Ads] shared callout extensions with campaigns or ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/location-extension-manage.md,Manage [!DNL Google Ads] location extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/sitelink-extension-about.md,About sitelink extensions,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/sitelink-extension-manage.md,Manage shared sitelinks,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/sitelink-extension-associate.md,"Associate shared sitelinks with accounts, campaigns, and ad groups",Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/ad-extension-association-delete.md,Delete ad extension associations with campaigns and ad groups,Search Campaign Management,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-about.md,About managing campaign data using bulksheets,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-ftp-account.md,Set up an FTP account for uploading bulksheets,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-download.md,Download/Create a bulksheet file,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-validate-landing-pages.md,Validate landing pages in bulksheet files,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-export.md,Export a generated or uploaded bulksheet file,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-upload.md,Upload a bulksheet or corrected error file,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-post.md,Post bulksheets or corrected error files,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-errors.md,Bulksheet errors,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-delete.md,Delete uploaded bulksheets and error files,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-stop-job.md,Stop a bulksheet job in progress,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-file-formats.md,Supported bulksheet file formats,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-operations.md,Operations you can perform in bulksheets,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-baidu.md,Required bulksheet data for [!DNL Baidu] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-google.md,Required bulksheet data for [!DNL Google Ads] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-microsoft.md,Required bulksheet data for [!DNL Microsoft Advertising] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-naver.md,Required bulksheet data for [!DNL Naver] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-yahoo-display-network.md,Bulksheet data for [!DNL Yahoo! Display Network] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-yahoo-japan.md,Bulksheet data for [!DNL Yahoo! Japan] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/bulksheets/bulksheet-data-formats/bulksheet-data-yandex.md,Required bulksheet data for [!DNL Yandex] accounts,Search Bulksheets,
./help/search-social-commerce/campaign-management/inventory-feeds/inventory-feeds-about.md,About automating ad management using inventory feeds,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/when-are-components-created-deleted.md,When are account components created or deleted by inventory feeds?,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/feed-settings-manage.md,Configure feed data settings,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/feed-files-manage.md,Manage inventory data feed files,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/modifiers-manage.md,Manage modifiers,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/ad-templates/ad-template-manage.md,Manage ad templates for inventory feeds,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/ad-templates/template-text-rsa.md,Text ad and responsive search ad template settings for inventory feeds,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/ad-templates/template-google-shopping.md,'[!DNL Google Ads] shopping ad template settings for inventory feeds',Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/ad-templates/template-microsoft-shopping.md,'[!DNL Microsoft® Ads] shopping ad template settings for inventory feeds',Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/feed-data-propagate.md,Propagate inventory feed data through templates,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/propagated-data-view.md,View data generated from feeds,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/propagated-data-edit.md,Edit data generated from feeds,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/propagated-data-post.md,Post campaign data generated from feeds to ad networks,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/stop-job.md,Stop a posting job for inventory feed data,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/inventory-feeds/propagated-data-status.md,Statuses of data generated from feeds,Search Inventory Feeds,
./help/search-social-commerce/campaign-management/special-campaign-types/google-dynamic-search-ads.md,Implement [!DNL Google Ads] dynamic search ads,Search Campaign Management,
./help/search-social-commerce/campaign-management/special-campaign-types/google-performance-max-campaigns.md,Implement [!DNL Google Ads] performance max campaigns,Search Campaign Management,
./help/search-social-commerce/campaign-management/special-campaign-types/google-shopping-campaigns.md,Implement [!DNL Google Ads] shopping campaigns,Search Campaign Management,
./help/search-social-commerce/campaign-management/special-campaign-types/microsoft-shopping-campaigns.md,Implement [!DNL Microsoft® Advertising] shopping campaigns,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaigns/sync-network.md,Manually synchronize ad network data,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaign-assign-to-portfolio.md,Assign campaigns to a portfolio,Search Campaign Management,
./help/search-social-commerce/campaign-management/campaign-remove-from-portfolio.md,Remove campaigns from a portfolio,Search Campaign Management,
./help/search-social-commerce/campaign-management/label-classifications/classification-about.md,About label classifications,Search Label Classifications,
./help/search-social-commerce/campaign-management/label-classifications/classification-create.md,Create a label classification,Search Label Classifications,
./help/search-social-commerce/campaign-management/label-classifications/classification-values-assign-campaign-management.md,Assign classification values to account components from campaign management views,Search Label Classifications,
./help/search-social-commerce/campaign-management/label-classifications/classification-values-assign-bulksheets.md,Assign classification values to account components using bulksheets,Search Label Classifications,
./help/search-social-commerce/campaign-management/label-classifications/classification-values-remove.md,Remove label classification values from account components,Search Label Classifications,
./help/search-social-commerce/campaign-management/label-classifications/classification-values-delete.md,Delete label classification values,Search Label Classifications,
./help/search-social-commerce/campaign-management/label-classifications/classification-delete.md,Delete label classifications,Search Label Classifications,
./help/search-social-commerce/campaign-management/asset-library/asset-library-about.md,"""About the [!UICONTROL Asset Library]""",Search Campaign Management,
./help/search-social-commerce/campaign-management/asset-library/asset-create.md,Create and upload assets,Search Campaign Management,
./help/search-social-commerce/campaign-management/best-practices/best-practices-analyze.md,Analyze reports to refine your keywords and campaign settings,Search Best Practices,
./help/search-social-commerce/campaign-management/best-practices/best-practices-write.md,Write effective text ad copy,Search Best Practices,
./help/search-social-commerce/campaign-management/best-practices/best-practices-optimize.md,Optimize the website landing pages,Search Best Practices,
./help/search-social-commerce/campaign-management/max-objects-per-ad-network.md,Maximum number of objects per ad network account,Search Campaign Management,
./help/search-social-commerce/campaign-management/faqs-campaigns.md,FAQs about campaigns,Search Campaign Management,
./help/search-social-commerce/advertising-insights/insight-about.md,About [!UICONTROL Advertising Insights],Search Advertising Insights,
./help/search-social-commerce/advertising-insights/insight-generate.md,Generate an [!DNL Advertising Insight],Search Advertising Insights,
./help/search-social-commerce/advertising-insights/insight-view-save.md,View or save an [!DNL Advertising Insight],Search Advertising Insights,
./help/search-social-commerce/advertising-insights/insight-delete.md,Delete an [!DNL Advertising Insight],Search Reports,
./help/search-social-commerce/reports/report-about.md,About reports,Search Reports,
./help/search-social-commerce/reports/initial-setup.md,The initial setup tasks for reports,Search Reports,
./help/search-social-commerce/reports/data-used-for-reports.md,The data used for reports,Search Reports,
./help/search-social-commerce/reports/management/basic-advanced/basic-advanced-report-about.md,About basic reports and advanced reports,"Search Reports, Search Basic Reports, Search Advanced Reports",
./help/search-social-commerce/reports/management/basic-advanced/ad-group-report.md,'[!UICONTROL Ad Group Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/ad-variation-report.md,'[!UICONTROL Ad Variation Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/campaign-report.md,'[!UICONTROL Campaign Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/campaign-hourly-report.md,'[!UICONTROL Campaign Hourly Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/constraint-report.md,'[!UICONTROL Constraint Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/keyword-report.md,'[!UICONTROL Keyword Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/label-classification-report.md,'[!UICONTROL Label Classification Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/label-value-report.md,'[!UICONTROL Label Value Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/network-constraint-report.md,'[!UICONTROL Network Constraint Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/portfolio-report.md,'[!UICONTROL Portfolio Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/product-group-report.md,'[!UICONTROL Product Group Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/search-engine-account-report.md,'[!UICONTROL Search Engine Account Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/search-engine-report.md,'[!UICONTROL Search Engine Report]',"Search Reports, Search Basic Reports",
./help/search-social-commerce/reports/management/basic-advanced/domain-referral-report.md,'[!UICONTROL Domain Referral Report]',"Search Reports, Search Advanced Reports",
./help/search-social-commerce/reports/management/basic-advanced/geo-distribution-report.md,'[!UICONTROL Geo Distribution Report]',"Search Reports, Search Advanced Reports",
./help/search-social-commerce/reports/management/basic-advanced/transaction-report.md,'[!UICONTROL Transaction Report]',"Search Reports, Search Advanced Reports",
./help/search-social-commerce/reports/management/basic-advanced/basic-advanced-report-generate.md,Generate a basic report or advanced report,"Search Reports, Search Basic Reports, Search Advanced Reports",
./help/search-social-commerce/reports/management/basic-advanced/basic-advanced-report-settings.md,Basic and advanced report settings,"Search Reports, Search Basic Reports, Search Advanced Reports",
./help/search-social-commerce/reports/management/basic-advanced/basic-advanced-report-columns.md,Report columns for basic and advanced reports,"Search Reports, Search Basic Reports, Search Advanced Reports",
./help/search-social-commerce/reports/management/assist/assist-report-about.md,About assist reports,"Search Reports, Search Assist Reports",
./help/search-social-commerce/reports/management/assist/channel-assist-report.md,'[!UICONTROL Channel Assist Report]',"Search Reports, Search Assist Reports",
./help/search-social-commerce/reports/management/assist/campaign-assist-report.md,'[!UICONTROL Campaign Assist Report]',"Search Reports, Search Assist Reports",
./help/search-social-commerce/reports/management/assist/keyword-assist-report.md,'[!UICONTROL Keyword Assist Report]',"Search Reports, Search Assist Reports",
./help/search-social-commerce/reports/management/assist/assist-report-generate.md,Generate an assist report,"Search Reports, Search Assist Reports",
./help/search-social-commerce/reports/management/assist/assist-report-settings.md,Assist report settings,"Search Reports, Search Assist Reports",
./help/search-social-commerce/reports/management/specialty/specialty-report-about.md,About specialty reports,"Search Reports, Search Specialty Reports",
./help/search-social-commerce/reports/management/specialty/adwords-bing-audience-target-report.md,'[!UICONTROL AdWords and Bing Audience Target Report]',"Search Reports, Search Specialty Reports",
./help/search-social-commerce/reports/management/specialty/adwords-conversion-report.md,'[!UICONTROL AdWords Conversion Report]',"Search Reports, Search Specialty Reports",
./help/search-social-commerce/reports/management/specialty/adwords-geo-report.md,'[!UICONTROL AdWords Geo Report]',"Search Reports, Search Specialty Reports",
./help/search-social-commerce/reports/management/specialty/adwords-search-query-report.md,'[!UICONTROL AdWords Search Query Report]',"Search Reports, Search Specialty Reports",
